,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,status,superkingdom,phylum,class,order,family,genus,species,strain,sample_id
46N_Month3_3_S209,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5061962,5061237,5059577,5044513,5044513,5011416,5,5011416,5061237,5062596,50.60,50.60,5011416,5011416,5011416,5011416,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.973,1.000,0.00,0.41,0.00,0 + 0 part,5011416,5061237,5011416,5011416,5011416,5011416,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_3_S209.fasta
46N_Month3_4_S217,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5061863,5061138,5051165,5042609,5042609,5011501,7,5011501,5061138,5062596,50.60,50.60,5011501,5011501,5011501,5011501,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.971,1.000,0.00,2.33,0.04,0 + 0 part,5011501,5061101,5011501,5011501,5011501,5011501,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_4_S217.fasta
46N_Month3_5_S225,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.14,0.02,0 + 0 part,5011486,5061738,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_5_S225.fasta
46N_Month3_6_S233,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,5,4,2,2,1,5062176,5061515,5059855,5044665,5044665,5011504,5,5011504,5061515,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.979,1.000,0.00,0.49,0.00,0 + 0 part,5011504,5061515,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_6_S233.fasta
46N_Month3_7_S241,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.24,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_7_S241.fasta
46N_Month3_8_S249,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062088,5061668,5060008,5051452,5051452,5011416,4,5011416,5061668,5062596,50.60,50.60,5011416,5011416,5011416,5011416,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.982,1.000,0.00,0.81,0.00,0 + 0 part,5011416,5061668,5011416,5011416,5011416,5011416,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_8_S249.fasta
46N_Month3_9_S257,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5061974,5061249,5059589,5044525,5044525,5011428,5,5011428,5061249,5062596,50.60,50.60,5011428,5011428,5011428,5011428,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.973,1.000,0.00,1.05,0.08,0 + 0 part,5011428,5061249,5011428,5011428,5011428,5011428,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month3_9_S257.fasta
46N_Month6_10_S745,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.81,0.00,0 + 0 part,5011208,5061460,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_10_S745.fasta
46N_Month6_11_S753,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062050,5061325,5059665,5044601,5044601,5011504,5,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.969,1.000,0.00,0.67,0.00,0 + 0 part,5011208,5061029,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_11_S753.fasta
46N_Month6_12_S761,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,103,53,41,40,34,30,7024148,7007067,6977036,6971719,6853908,6691620,64,711629,7014563,5062596,66.10,50.60,326687,419103,136771,293010,7,5,16,8,0,0,0,0,0,0,2,61 + 3 part,7013948,0.011,1.143,0.00,2788.10,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_12_S761.fasta
46N_Month6_13_S674,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.38,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_13_S674.fasta
46N_Month6_14_S682,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,91,64,56,52,44,37,7018488,7010109,6994024,6964313,6833138,6601166,68,617255,7013022,5062596,66.09,50.60,240996,374720,108424,226003,9,6,21,10,0,0,0,0,0,0,2,65 + 3 part,7012407,0.012,1.000,0.00,2439.02,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_14_S682.fasta
46N_Month6_15_S690,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,84,56,47,44,35,31,6963758,6954279,6933523,6910017,6752479,6601480,63,686276,6959419,5062596,66.08,50.60,242119,374720,122107,241330,9,5,17,10,0,0,0,0,0,0,2,60 + 3 part,6958804,0.012,1.000,0.00,2439.02,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_15_S690.fasta
46N_Month6_16_S698,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062153,5061733,5060073,5051517,5051517,5011481,4,5011481,5061733,5062596,50.60,50.60,5011481,5011481,5011481,5011481,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.32,0.06,0 + 0 part,5011185,5061437,5011185,5011185,5011185,5011185,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_16_S698.fasta
46N_Month6_17_S706,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.32,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_17_S706.fasta
46N_Month6_18_S714,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,1.76,0.06,0 + 0 part,5011207,5061459,5011207,5011207,5011207,5011207,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_18_S714.fasta
46N_Month6_19_S722,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,97,52,41,38,32,27,7030830,7015609,6990538,6967032,6852286,6662304,63,685666,7023221,5062596,66.09,50.60,326687,398860,208506,279592,8,5,14,9,0,0,0,0,0,0,2,60 + 3 part,7022606,0.012,1.000,0.00,2439.02,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_19_S722.fasta
46N_Month6_1_S673,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.32,0.02,0 + 0 part,5011486,5061738,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_1_S673.fasta
46N_Month6_20_S730,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,73,67,61,58,49,37,7002955,7000280,6984829,6961351,6806460,6364915,70,792133,7002248,5062596,66.10,50.60,195304,223807,120262,194627,13,8,24,14,0,0,0,0,0,0,2,67 + 3 part,7001633,0.011,1.143,0.00,2788.10,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_20_S730.fasta
46N_Month6_21_S738,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.73,0.00,0 + 0 part,5011208,5061460,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_21_S738.fasta
46N_Month6_22_S746,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.30,0.02,0 + 0 part,5011190,5061442,5011190,5011190,5011190,5011190,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_22_S746.fasta
46N_Month6_23_S754,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.16,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_23_S754.fasta
46N_Month6_24_S762,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,99,51,41,40,33,29,7024014,7007416,6983192,6977875,6846718,6684471,62,716368,7014912,5062596,66.10,50.60,284915,377420,138114,266309,8,5,15,9,0,0,0,0,0,0,2,59 + 3 part,7014297,0.012,1.000,0.00,2439.02,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46N_Month6_24_S762.fasta
46N_Month6_2_S681,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062156,5061736,5060076,5051520,5051520,5011484,4,5011484,5061736,5062596,50.60,50.60,5011484,5011484,5011484,5011484,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.976,1.000,0.00,0.20,0.02,0 + 0 part,5011152,5061404,5011152,5011152,5011152,5011152,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_2_S681.fasta
46N_Month6_3_S689,Bacteria,5449,104,58,0,102,2,0,0,0,100.0,1.72,100.0,41,2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,6,5,4,3,3,1,5087982,5087562,5085902,5077346,5077346,5011503,5,5011503,5087562,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.005,0.00,0.47,0.02,0 + 0 part,5011207,5087264,5011207,5011207,5011207,5011207,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_3_S689.fasta
46N_Month6_4_S697,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5058905,5058485,5056825,5048269,5048269,5008233,4,5008233,5058485,5062596,50.60,50.60,5008233,5008233,5008233,5008233,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.912,1.000,0.00,0.67,0.04,0 + 0 part,5007894,5058146,5007894,5007894,5007894,5007894,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_4_S697.fasta
46N_Month6_5_S705,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.65,0.08,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_5_S705.fasta
46N_Month6_6_S713,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.43,0.00,0 + 0 part,5011208,5061460,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_6_S713.fasta
46N_Month6_7_S721,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.83,0.02,0 + 0 part,5011503,5061755,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_7_S721.fasta
46N_Month6_8_S729,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062032,5061307,5059647,5044583,5044583,5011486,5,5011486,5061307,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,1.58,0.02,0 + 0 part,5011486,5061307,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_8_S729.fasta
46N_Month6_9_S737,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5065658,5065238,5063578,5055022,5055022,5014986,4,5014986,5065238,5062596,50.60,50.60,5014986,5014986,5014986,5014986,1,1,1,1,2,1,5014986,1,0,0,0,0 + 0 part,0,99.922,1.001,0.00,1.72,0.12,0 + 0 part,2948076,5063343,2948076,2948076,2060334,2060334,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46N_Month6_9_S737.fasta
46R_Day7_10_S363_L002,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,108,58,42,40,36,30,7037076,7020164,6982785,6968960,6900337,6663803,71,686276,7028634,5062596,66.07,50.60,279604,343457,183993,263483,9,6,17,10,0,0,0,0,0,0,1,65 + 3 part,7018553,0.18,1.109,0.00,142.98,0.00,0 + 0 part,8556,9169,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46R_Day7_10_S363_L002.fasta
46R_Day7_11_S371_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.87,0.00,0 + 0 part,5011208,5061460,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46R_Day7_11_S371_L002.fasta
46R_Day7_12_S379_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.99,0.02,0 + 0 part,5011207,5061459,5011207,5011207,5011207,5011207,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46R_Day7_12_S379_L002.fasta
46R_Day7_13_S292_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,67,33,26,21,17,12,5020868,5010722,4991839,4956440,4887841,4709659,37,1185431,5013542,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,1,0,0,0,0 + 0 part,0,99.025,1.000,0.00,0.06,0.00,0 + 0 part,1185431,5013246,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46R_Day7_13_S292_L002.fasta
46R_Day7_14_S300_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.04,0.02,0 + 0 part,5011207,5061459,5011207,5011207,5011207,5011207,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46R_Day7_14_S300_L002.fasta
46R_Day7_15_S308_L002,Bacteria,5449,104,58,1,103,0,0,0,0,98.28,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa,100,51,41,38,31,27,7031582,7014105,6990451,6966945,6838819,6675756,63,686276,7022531,5062596,66.09,50.60,279604,409818,201289,276400,8,5,15,9,0,0,0,0,0,0,2,60 + 3 part,7021916,0.011,1.143,0.00,2788.10,0.00,0 + 0 part,314,615,-,-,-,-,-,-,-,-,found,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,46R_Day7_15_S308_L002.fasta
46R_Day7_16_S316_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020722,5010721,4991838,4956440,4887841,4709659,37,1185431,5013541,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,1,0,0,0,0 + 0 part,0,99.025,1.000,0.00,0.06,0.02,0 + 0 part,1185431,5013245,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,46R_Day7_16_S316_L002.fasta
